date,market,stock_id,name,open,high,low,close,volume
2026-03-30,TWSE,1101,台泥,22.45,22.75,22.4,22.55,18235999.0
2026-03-30,TWSE,1102,亞泥,34.25,35.15,34.2,35.15,13319342.0
2026-03-30,TWSE,1103,嘉泥,13.5,13.65,13.4,13.5,330394.0
2026-03-30,TWSE,1104,環泥,29.35,30.35,29.35,29.85,890069.0
2026-03-30,TWSE,1108,幸福,14.8,14.9,14.8,14.85,133186.0
2026-03-30,TWSE,1109,信大,15.2,15.3,15.05,15.2,236073.0
2026-03-30,TWSE,1110,東泥,15.0,15.4,14.95,15.4,150024.0
2026-03-30,TWSE,1201,味全,13.3,13.45,13.25,13.4,237632.0
2026-03-30,TWSE,1203,味王,39.1,39.45,39.05,39.45,17256.0
2026-03-30,TWSE,1210,大成,54.2,54.6,54.0,54.5,1751883.0
2026-03-30,TWSE,1213,大飲,9.6,9.6,9.57,9.57,6020.0
2026-03-30,TWSE,1215,卜蜂,140.0,142.5,138.5,140.0,1242531.0
2026-03-30,TWSE,1216,統一,71.3,72.3,71.3,71.9,13622700.0
2026-03-30,TWSE,1217,愛之味,10.25,10.4,10.2,10.4,726856.0
2026-03-30,TWSE,1218,泰山,19.3,19.45,19.15,19.35,1024637.0
2026-03-30,TWSE,1219,福壽,13.8,14.2,13.75,14.2,864410.0
2026-03-30,TWSE,1220,台榮,12.5,12.85,12.45,12.75,220698.0
2026-03-30,TWSE,1225,福懋油,32.3,32.3,31.65,31.85,193876.0
2026-03-30,TWSE,1227,佳格,30.05,30.55,30.05,30.3,927061.0
2026-03-30,TWSE,1229,聯華,44.9,45.2,44.5,44.75,1933945.0
2026-03-30,TWSE,1231,聯華食,90.9,92.5,90.6,91.7,266890.0
2026-03-30,TWSE,1232,大統益,148.5,150.0,148.5,150.0,64050.0
2026-03-30,TWSE,1233,天仁,28.85,29.0,28.55,29.0,13548.0
2026-03-30,TWSE,1234,黑松,35.85,35.95,35.75,35.85,125018.0
2026-03-30,TWSE,1235,興泰,39.45,39.45,37.65,37.9,15570.0
2026-03-30,TWSE,1236,宏亞,26.15,26.15,25.85,26.05,38648.0
2026-03-30,TWSE,1256,鮮活果汁-KY,147.5,151.0,147.0,149.5,46388.0
2026-03-30,TWSE,1301,台塑,46.6,49.3,46.5,48.25,59280258.0
2026-03-30,TWSE,1303,南亞,72.1,81.6,71.8,81.4,133187379.0
2026-03-30,TWSE,1304,台聚,17.55,17.8,17.45,17.8,29413290.0
2026-03-30,TWSE,1305,華夏,18.2,18.4,18.0,18.4,27817818.0
2026-03-30,TWSE,1307,三芳,34.0,35.7,33.7,34.8,2813240.0
2026-03-30,TWSE,1308,亞聚,19.0,19.4,18.95,19.4,25979598.0
2026-03-30,TWSE,1309,台達化,24.35,24.35,24.35,24.35,4582833.0
2026-03-30,TWSE,1310,台苯,11.8,12.2,11.6,11.95,34394957.0
2026-03-30,TWSE,1312,國喬,14.3,15.05,14.1,14.15,44391693.0
2026-03-30,TWSE,1313,聯成,13.0,14.0,13.0,13.45,31321133.0
2026-03-30,TWSE,1314,中石化,8.17,8.53,8.15,8.21,87153459.0
2026-03-30,TWSE,1315,達新,63.0,63.1,62.6,63.1,13578.0
2026-03-30,TWSE,1316,上曜,12.15,12.4,12.05,12.25,1689584.0
2026-03-30,TWSE,1319,東陽,82.0,83.7,81.8,82.0,2523984.0
2026-03-30,TWSE,1321,大洋,33.9,34.2,33.65,33.85,125155.0
2026-03-30,TWSE,1323,永裕,18.95,21.0,18.95,21.0,446916.0
